repository,review_count,comments,participants,review_time_hours
2dust/v2rayN,17.0,1.0,2.0,2.86
3b1b/manim,1.5,0.0,3.0,441.43
521xueweihan/HelloGitHub,1.0,0.75,3.0,550.07
996icu/996.ICU,1.91,14.82,16.45,11.4
Anduin2017/HowToCook,2.81,2.14,2.81,866.93
AppFlowy-IO/AppFlowy,2.0,1.0,2.2,35.23
ByteByteGoHq/system-design-101,2.43,0.57,2.71,491.28
Chalarangelo/30-seconds-of-code,1.68,2.36,2.55,10.74
ChatGPTNextWeb/NextChat,2.67,2.67,3.33,2.45
CompVis/stable-diffusion,3.2,2.4,4.4,1626.55
Developer-Y/cs-video-courses,1.0,1.0,3.0,4.83
Eugeny/tabby,2.0,1.4,2.0,29.86
FuelLabs/sway,4.44,1.03,2.53,207.25
Genymobile/scrcpy,4.18,7.18,3.06,3269.52
Hack-with-Github/Awesome-Hacking,1.3,1.0,3.2,2773.51
MunGell/awesome-for-beginners,2.0,0.0,2.0,1.59
PKUFlyingPig/cs-self-learning,1.5,0.75,2.5,23.09
Significant-Gravitas/AutoGPT,3.41,5.72,5.03,193.23
Snailclimb/JavaGuide,1.0,1.0,2.0,3.69
TheAlgorithms/Java,1.42,1.25,2.33,446.99
abi/screenshot-to-code,2.44,3.67,3.33,88.65
airbnb/javascript,1.0,1.0,3.0,78.35
anuraghazra/github-readme-stats,4.18,8.0,4.0,416.79
base/node,1.48,0.95,2.9,79.78
binary-husky/gpt_academic,1.0,3.0,14.5,89.87
binhnguyennus/awesome-scalability,1.0,0.92,2.5,276.42
bregman-arie/devops-exercises,1.78,1.22,2.56,19.8
codecrafters-io/build-your-own-x,1.83,1.0,2.17,15.39
coder/code-server,4.73,3.19,3.92,98.09
comfyanonymous/ComfyUI,3.25,6.5,3.0,128.38
d2l-ai/d2l-zh,1.0,0.0,2.0,10.9
deepseek-ai/DeepSeek-R1,1.8,1.4,3.8,671.76
deepseek-ai/DeepSeek-V3,2.62,1.77,4.54,176.36
denoland/deno,3.35,3.04,4.19,88.36
donnemartin/system-design-primer,1.24,1.38,2.33,95.31
doocs/advanced-java,1.14,0.86,1.86,127.47
excalidraw/excalidraw,5.25,4.5,3.42,31.94
f/awesome-chatgpt-prompts,1.67,1.33,2.33,11464.01
facebook/create-react-app,1.0,20.0,6.0,51.83
fastapi/fastapi,3.5,5.0,2.75,665.57
fighting41love/funNLP,1.0,1.5,2.25,686.9
florinpop17/app-ideas,1.75,0.53,2.0,18.77
ggml-org/llama.cpp,2.88,3.6,3.56,54.57
goldbergyoni/nodebestpractices,1.14,2.77,2.86,1122.13
gothinkster/realworld,1.12,1.25,2.25,26.34
hoppscotch/hoppscotch,1.33,6.33,3.58,16.01
huggingface/transformers,2.6,6.2,4.2,242.06
immich-app/immich,1.0,1.0,2.0,151.78
iptv-org/iptv,1.0,2.0,2.0,10.97
jackfrued/Python-100-Days,1.0,2.5,3.5,362.49
jwasham/coding-interview-university,1.2,1.8,2.8,5.23
kamranahmedse/developer-roadmap,1.0,2.0,4.0,87.69
kdn251/interviews,5.5,4.4,2.8,831.61
kelseyhightower/nocode,2.33,2.59,5.07,19523.05
krahets/hello-algo,4.16,1.89,2.27,25.96
labuladong/fucking-algorithm,1.33,2.33,2.0,9.26
langchain-ai/langchain,3.0,1.88,2.12,526.07
langgenius/dify,1.33,0.25,2.5,49.46
louislam/uptime-kuma,6.6,5.1,6.8,1150.24
lydiahallie/javascript-questions,2.22,1.41,3.11,81.58
massgravel/Microsoft-Activation-Scripts,2.0,0.0,4.0,107.71
microsoft/ML-For-Beginners,1.4,0.83,2.13,37.86
microsoft/PowerToys,1.33,1.33,3.33,358.51
microsoft/Web-Dev-For-Beginners,1.54,2.0,2.69,156.55
microsoft/generative-ai-for-beginners,3.92,0.42,2.33,357.85
microsoft/playwright,1.83,0.54,2.21,33.04
microsoft/terminal,7.26,2.84,3.63,1868.18
mtdvio/every-programmer-should-know,1.0,1.5,2.5,34.9
n8n-io/n8n,2.0,8.0,7.0,3731.58
nestjs/nest,3.08,6.31,4.31,541.16
nomic-ai/gpt4all,1.67,1.44,2.67,173.0
ollama/ollama,2.41,0.78,2.3,58.13
open-webui/open-webui,17.0,11.0,3.0,22.96
openai/openai-cookbook,4.36,1.0,2.55,271.23
openai/whisper,1.44,3.0,3.0,312.22
opencv/opencv,1.0,2.0,4.0,45.92
oven-sh/bun,7.67,3.5,4.0,5854.2
papers-we-love/papers-we-love,1.0,17.0,6.0,205.51
practical-tutorials/project-based-learning,1.0,0.0,1.75,10.13
puppeteer/puppeteer,5.33,1.67,2.79,124.26
python/cpython,3.31,5.18,5.18,600.47
pytorch/pytorch,6.67,1.08,3.08,79.82
redis/redis,1.0,0.0,1.0,116725.73
rustdesk/rustdesk,6.33,1.33,2.33,1853.72
ryanmcdermott/clean-code-javascript,2.5,3.5,3.33,77.48
sdmg15/Best-websites-a-programmer-should-visit,1.89,2.0,2.37,2459.64
shadcn-ui/ui,1.64,4.21,2.5,563.6
sherlock-project/sherlock,2.14,6.0,3.71,36.65
supabase/supabase,2.67,4.33,2.33,16.65
sveltejs/svelte,1.67,2.33,3.67,10.91
swiftlang/swift,1.0,4.0,5.0,20.65
swisskyrepo/PayloadsAllTheThings,2.0,1.0,3.0,2.53
tailwindlabs/tailwindcss,3.33,1.11,2.89,26.57
tauri-apps/tauri,2.12,0.76,2.24,176.81
tesseract-ocr/tesseract,1.0,2.5,6.5,19039.33
thedaviddias/Front-End-Checklist,1.4,4.0,3.2,1326.12
trekhleb/javascript-algorithms,1.5,2.5,3.5,555.65
trimstray/the-book-of-secret-knowledge,2.43,1.43,3.29,207.19
twbs/bootstrap,3.0,1.0,4.0,1.02
twitter/the-algorithm,1.89,10.06,13.5,2.94
ventoy/Ventoy,1.33,0.67,2.33,1960.35
vercel/next.js,3.25,2.42,3.33,285.46
vinta/awesome-python,1.0,1.0,3.0,1.84
vitejs/vite,2.4,1.4,2.2,15.04
xtekky/gpt4free,1.14,3.14,3.43,10.77
yangshun/tech-interview-handbook,1.67,2.5,2.0,13.19
yt-dlp/yt-dlp,7.19,2.75,2.25,103.92
